fecha,zona_prov,clae2,w_mean
2007-01-01,CAPITAL FEDERAL,41,1175
2007-01-01,CAPITAL FEDERAL,42,2147
2007-01-01,CAPITAL FEDERAL,43,1411
2007-01-01,CAPITAL FEDERAL,45,2059
2007-01-01,CAPITAL FEDERAL,46,2513
2007-01-01,CAPITAL FEDERAL,47,1526
2007-01-01,CAPITAL FEDERAL,49,2113
2007-01-01,CAPITAL FEDERAL,50,4828
2007-01-01,CAPITAL FEDERAL,51,3954
2007-01-01,CAPITAL FEDERAL,52,2605
2007-01-01,CAPITAL FEDERAL,53,2213
2007-01-01,CAPITAL FEDERAL,55,1930
2007-01-01,CAPITAL FEDERAL,56,1142
2007-01-01,CAPITAL FEDERAL,58,3303
2007-01-01,CAPITAL FEDERAL,59,2427
2007-01-01,CAPITAL FEDERAL,60,4014
2007-01-01,CAPITAL FEDERAL,61,3359
2007-01-01,CAPITAL FEDERAL,62,3305
2007-01-01,CAPITAL FEDERAL,63,3384
2007-01-01,CAPITAL FEDERAL,64,5454
2007-01-01,CAPITAL FEDERAL,65,3332
2007-01-01,CAPITAL FEDERAL,66,3774
2007-01-01,CAPITAL FEDERAL,68,1693
2007-01-01,CAPITAL FEDERAL,69,2229
2007-01-01,CAPITAL FEDERAL,70,2841
2007-01-01,CAPITAL FEDERAL,71,2485
2007-01-01,CAPITAL FEDERAL,72,3484
2007-01-01,CAPITAL FEDERAL,73,2816
2007-01-01,CAPITAL FEDERAL,74,1587
2007-01-01,CAPITAL FEDERAL,75,813
2007-01-01,CAPITAL FEDERAL,77,2033
2007-01-01,CAPITAL FEDERAL,78,1403
2007-01-01,CAPITAL FEDERAL,79,2061
2007-01-01,CAPITAL FEDERAL,80,1345
2007-01-01,CAPITAL FEDERAL,81,911
2007-01-01,CAPITAL FEDERAL,82,2616
2007-01-01,CAPITAL FEDERAL,85,1247
2007-01-01,CAPITAL FEDERAL,86,2052
2007-01-01,CAPITAL FEDERAL,87,1333
2007-01-01,CAPITAL FEDERAL,88,1502
2007-01-01,CAPITAL FEDERAL,90,1666
2007-01-01,CAPITAL FEDERAL,91,1736
2007-01-01,CAPITAL FEDERAL,92,2727
2007-01-01,CAPITAL FEDERAL,93,1631
2007-01-01,CAPITAL FEDERAL,94,2006
2007-01-01,CAPITAL FEDERAL,95,1865
2007-01-01,CAPITAL FEDERAL,96,1235
2007-01-01,CAPITAL FEDERAL,999,2323
2007-01-01,CATAMARCA,1,821
2007-01-01,CATAMARCA,2,868
2007-01-01,CATAMARCA,3,1317
2007-01-01,CATAMARCA,7,4326
2007-01-01,CATAMARCA,8,2807
2007-01-01,CATAMARCA,9,1165
2007-01-01,CATAMARCA,10,1809
2007-01-01,CATAMARCA,11,2671
2007-01-01,CATAMARCA,13,1826
2007-01-01,CATAMARCA,14,1024
2007-01-01,CATAMARCA,15,1605
2007-01-01,CATAMARCA,16,792
2007-01-01,CATAMARCA,17,1254
2007-01-01,CATAMARCA,18,1407
2007-01-01,CATAMARCA,19,-99
2007-01-01,CATAMARCA,20,2729
2007-01-01,CATAMARCA,21,5559
2007-01-01,CATAMARCA,22,1863
2007-01-01,CATAMARCA,23,2903
2007-01-01,CATAMARCA,24,862
2007-01-01,CATAMARCA,25,2396
2007-01-01,CATAMARCA,26,1141
2007-01-01,CATAMARCA,27,1514
2007-01-01,CATAMARCA,28,1706
2007-01-01,CATAMARCA,30,848
2007-01-01,CATAMARCA,31,1211
2007-01-01,CATAMARCA,32,1145
2007-01-01,CATAMARCA,33,3710
2007-01-01,CATAMARCA,35,1884
2007-01-01,CATAMARCA,36,1670
2007-01-01,CATAMARCA,38,1784
2007-01-01,CATAMARCA,41,983
2007-01-01,CATAMARCA,42,1273
2007-01-01,CATAMARCA,43,1051
2007-01-01,CATAMARCA,45,1446
2007-01-01,CATAMARCA,46,1246
2007-01-01,CATAMARCA,47,1202
2007-01-01,CATAMARCA,49,1640
2007-01-01,CATAMARCA,51,1508
2007-01-01,CATAMARCA,52,1938
2007-01-01,CATAMARCA,53,1786
2007-01-01,CATAMARCA,55,1023
2007-01-01,CATAMARCA,56,1339
2007-01-01,CATAMARCA,58,1513
2007-01-01,CATAMARCA,59,1419
2007-01-01,CATAMARCA,60,1664
2007-01-01,CATAMARCA,61,2414
2007-01-01,CATAMARCA,62,1080
2007-01-01,CATAMARCA,63,2663
2007-01-01,CATAMARCA,64,2581
2007-01-01,CATAMARCA,65,2326
2007-01-01,CATAMARCA,66,1338
2007-01-01,CATAMARCA,68,1087
2007-01-01,CATAMARCA,69,1180
2007-01-01,CATAMARCA,70,1237
2007-01-01,CATAMARCA,71,868
2007-01-01,CATAMARCA,73,1266
2007-01-01,CATAMARCA,74,854
2007-01-01,CATAMARCA,75,1004
2007-01-01,CATAMARCA,77,917
2007-01-01,CATAMARCA,78,2223
2007-01-01,CATAMARCA,79,1394
2007-01-01,CATAMARCA,80,1203
2007-01-01,CATAMARCA,81,972
2007-01-01,CATAMARCA,82,1198
2007-01-01,CATAMARCA,85,1008
2007-01-01,CATAMARCA,86,1150
2007-01-01,CATAMARCA,87,844
2007-01-01,CATAMARCA,88,983
2007-01-01,CATAMARCA,90,-99
2007-01-01,CATAMARCA,91,1388
2007-01-01,CATAMARCA,92,890
2007-01-01,CATAMARCA,93,472
2007-01-01,CATAMARCA,94,1482
2007-01-01,CATAMARCA,95,701
2007-01-01,CATAMARCA,96,831
2007-01-01,CATAMARCA,999,777
2007-01-01,CHACO,1,684
2007-01-01,CHACO,2,499
2007-01-01,CHACO,3,-99
2007-01-01,CHACO,6,7941
2007-01-01,CHACO,8,3333
2007-01-01,CHACO,9,1303
2007-01-01,CHACO,10,1389
2007-01-01,CHACO,11,1704
2007-01-01,CHACO,12,3252
2007-01-01,CHACO,13,1557
2007-01-01,CHACO,14,1203
2007-01-01,CHACO,15,1200
2007-01-01,CHACO,16,880
2007-01-01,CHACO,17,1304
2007-01-01,CHACO,18,2084
2007-01-01,CHACO,19,2955
2007-01-01,CHACO,20,2257
2007-01-01,CHACO,21,8040
2007-01-01,CHACO,22,1592
2007-01-01,CHACO,23,1142
2007-01-01,CHACO,24,1169
2007-01-01,CHACO,25,1169
2007-01-01,CHACO,26,1163
2007-01-01,CHACO,27,1295
2007-01-01,CHACO,28,1107
2007-01-01,CHACO,29,1166
2007-01-01,CHACO,30,896
2007-01-01,CHACO,31,1464
2007-01-01,CHACO,32,1068
2007-01-01,CHACO,33,831
2007-01-01,CHACO,35,3619
2007-01-01,CHACO,36,2287
2007-01-01,CHACO,37,-99
2007-01-01,CHACO,41,1044
2007-01-01,CHACO,42,1215
2007-01-01,CHACO,43,812
2007-01-01,CHACO,45,1661
2007-01-01,CHACO,46,1582
2007-01-01,CHACO,47,1282
2007-01-01,CHACO,49,1784
2007-01-01,CHACO,51,3232
2007-01-01,CHACO,52,1796
2007-01-01,CHACO,53,2021
2007-01-01,CHACO,55,1118
2007-01-01,CHACO,56,915
2007-01-01,CHACO,58,1079
2007-01-01,CHACO,59,1042
2007-01-01,CHACO,60,1444
2007-01-01,CHACO,61,2434
2007-01-01,CHACO,62,1045
2007-01-01,CHACO,63,3311
2007-01-01,CHACO,64,3048
2007-01-01,CHACO,65,2374
2007-01-01,CHACO,66,973
2007-01-01,CHACO,68,1146
2007-01-01,CHACO,69,949
2007-01-01,CHACO,70,1297
2007-01-01,CHACO,71,943
2007-01-01,CHACO,72,1698
2007-01-01,CHACO,73,1360
2007-01-01,CHACO,74,1210
2007-01-01,CHACO,75,783
2007-01-01,CHACO,77,1195
2007-01-01,CHACO,78,793
2007-01-01,CHACO,79,1322
2007-01-01,CHACO,80,1196
2007-01-01,CHACO,81,602
2007-01-01,CHACO,82,1610
2007-01-01,CHACO,85,984
2007-01-01,CHACO,86,1554
2007-01-01,CHACO,87,1199
2007-01-01,CHACO,90,1060
2007-01-01,CHACO,91,-99
2007-01-01,CHACO,92,1202
2007-01-01,CHACO,93,1181
2007-01-01,CHACO,94,1460
2007-01-01,CHACO,95,963
2007-01-01,CHACO,96,1018
2007-01-01,CHACO,999,992
2007-01-01,CHUBUT,1,1121
2007-01-01,CHUBUT,2,1659
2007-01-01,CHUBUT,3,4048
2007-01-01,CHUBUT,6,9454
2007-01-01,CHUBUT,7,4868
2007-01-01,CHUBUT,8,1411
2007-01-01,CHUBUT,9,4552
2007-01-01,CHUBUT,10,2399
2007-01-01,CHUBUT,11,3066
2007-01-01,CHUBUT,12,-99
2007-01-01,CHUBUT,13,2013
2007-01-01,CHUBUT,14,1263
2007-01-01,CHUBUT,15,1824
2007-01-01,CHUBUT,16,997
2007-01-01,CHUBUT,17,-99
2007-01-01,CHUBUT,18,1401
2007-01-01,CHUBUT,20,2302
2007-01-01,CHUBUT,21,7484
2007-01-01,CHUBUT,22,1606
2007-01-01,CHUBUT,23,1602
2007-01-01,CHUBUT,24,4500
2007-01-01,CHUBUT,25,1811
2007-01-01,CHUBUT,26,1862
2007-01-01,CHUBUT,27,2829
2007-01-01,CHUBUT,28,5291
2007-01-01,CHUBUT,29,1789
2007-01-01,CHUBUT,30,3158
2007-01-01,CHUBUT,31,1263
2007-01-01,CHUBUT,32,1105
2007-01-01,CHUBUT,33,4075
2007-01-01,CHUBUT,35,4760
2007-01-01,CHUBUT,36,3458
2007-01-01,CHUBUT,38,1829
2007-01-01,CHUBUT,39,2735
2007-01-01,CHUBUT,41,1820
2007-01-01,CHUBUT,42,2599
2007-01-01,CHUBUT,43,2546
2007-01-01,CHUBUT,45,2047
2007-01-01,CHUBUT,46,1857
2007-01-01,CHUBUT,47,1676
2007-01-01,CHUBUT,49,2510
2007-01-01,CHUBUT,50,1099
2007-01-01,CHUBUT,51,5128
2007-01-01,CHUBUT,52,2007
2007-01-01,CHUBUT,53,2826
2007-01-01,CHUBUT,55,1466
2007-01-01,CHUBUT,56,1310
2007-01-01,CHUBUT,58,1697
